city_cn,city_id,name,start_date,end_date,sex,ethnic,birthdate,birthprovince,birthcity,birthcounty,educ,partydate,next_start,start_date_m,next_start_m,end_date_m,month_date,month,year
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-02-01,2.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-03-01,3.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-04-01,4.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-05-01,5.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-06-01,6.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-07-01,7.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-08-01,8.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-09-01,9.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-10-01,10.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-11-01,11.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2008-12-01,12.0,2008.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-01-01,1.0,2009.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-02-01,2.0,2009.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-03-01,3.0,2009.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-04-01,4.0,2009.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-05-01,5.0,2009.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-06-01,6.0,2009.0
七台河市,2309,曲志深,2008-02-01,2010-12-01,男,汉族,1963-12-01,山东省,烟台市,莱州市,本科,6/1/1985,2010-12-01,2008-02-01,2010-11-01,2010-12-01,2009-07-01,7.0,2009.0
