title,field,journal,year,language,links
"Entertaining Beliefs in Economic Mobility","Political Science","AJPS","2023","","https://osf.io/xf5w2/, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi"
"Enabling or Limiting Cognitive Flexibility? Evidence of Demand for Moral Commitment","Economics","AER","2024","","https://osf.io/eg2as/, https://osf.io/nwds7, https://osf.io/yfdet/, https://www.aeaweb.org/doi/10.1257/aer.20201333.appx, https://www.openicpsr.org/openicpsr/project/180741/version/V1/view"
"Exposure and Preferences: Evidence from Indian Slums","Political Science","AJPS","","",""
"Effective for Whom? Ethnic Identity and Nonviolent Resistance","Political Science","APSR","2024","","https://osf.io/7wxud/, https://econpapers.repec.org/paper/zbwi4rdps/86.htm, https://zenodo.org/records/10193470, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SHHVCA"
"Evaluating Deliberative Competence: A Simple Method with an Application to Financial Choice","Economics","AER","2024","","https://osf.io/scgbt/, https://www.openicpsr.org/openicpsr/project/171681/version/V1/view"
"Extraction, Assimilation, and Accommodation: The Historical Foundations of Indigenous–State Relations in Latin America","Political Science","APSR","2024","","https://osf.io/5gxuf/, https://www.econstor.eu/bitstream/10419/305224/1/I4R-DP176.pdf"
"Female Representation and Legitimacy: Evidence from a Harmonized Experiment in Jordan, Morocco, and Tunisia","Political Science","APSR","2024","","https://osf.io/hkc5b/"
"Flight to Safety: COVID-Induced Changes in the Intensity of Status Quo Preference and Voting Behavior","Political Science","APSR","2024","","https://osf.io/xyt6w/, https://econpapers.repec.org/paper/zbwi4rdps/36.htm, https://github.com/Dmscates/Bisbee-and-Honig-2022-Flight-to-Safety-Replication, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/S5YMS7"
"Finance and Green Growth","Economics","EJ","2024","","https://osf.io/h8ct2/, https://econpapers.repec.org/paper/zbwi4rdps/95.htm, https://osf.io/h8ct2/, https://econpapers.repec.org/paper/zbwi4rdps/96.htm, https://zenodo.org/records/7220094"
"Gender Differences in Cooperative Environments? Evidence from The U.S. Congress","Economics","EJ","2023","","https://osf.io/w48tf/, https://econpapers.repec.org/paper/zbwi4rdps/75.htm, https://www.dropbox.com/scl/fo/dmvgx5wlgql3tz98dx47u/h?rlkey=af83xiqrkw70rbjicdunoach9&dl=0, https://zenodo.org/records/5111360"
"Good Reverberations? Teacher Influence in Music Composition since 1450","Economics","JPE","2023","","https://osf.io/79e2z/, https://econpapers.repec.org/paper/zbwi4rdps/27.htm, https://www.dropbox.com/scl/fo/6hecmgjsq3mjo5ekkv8lm/h?rlkey=ftuoe4mf5f9jon0hiabb4brtn&dl=0, https://www.journals.uchicago.edu/doi/suppl/10.1086/718370/suppl_file/20210405data.zip"
"Hate Crimes and Gender Imbalances: Fears over Mate Competition and Violence against Refugees","Political Science","AJPS","2024","","https://osf.io/5n3ds/"
"Historical Lynchings and the Contemporary Voting Behavior of Blacks","Economics","AEJ: Applied","2024","","https://osf.io/hv7wp/, https://econpapers.repec.org/paper/zbwi4rdps/32.htm, https://www.openicpsr.org/openicpsr/project/136741/version/V1/view"
"Hobo economicus","Economics","EJ","2024","","https://osf.io/296re/, https://econpapers.repec.org/paper/zbwi4rdps/55.htm, https://osf.io/s4bca/, https://zenodo.org/records/5719541"
"How Do Beliefs about the Gender Wage Gap Affect the Demand for Public Policy?","Economics","AEJ: Econ Policy","2024","","https://osf.io/j2ubt/, https://econpapers.repec.org/paper/zbwi4rdps/12.htm, https://osf.io/j2ubt/, https://www.openicpsr.org/openicpsr/project/134041/version/V1/view"
"How Merchant Towns Shaped Parliaments: From the Norman Conquest of England to the Great Reform Act","Economics","AER","2024","","https://osf.io/nfvbg/, https://econpapers.repec.org/paper/zbwi4rdps/124.htm"
"How Much Should We Trust the Dictator’s GDP Growth Estimates?","Economics","JPE","2024","","https://osf.io/4sk52/"
"How the Party Commands the Gun: The Foreign-Domestic Threat Dilemma in China","Political Science","AJPS","2024","","https://osf.io/2ce4q/, https://econpapers.repec.org/paper/zbwi4rdps/178.htm, https://econpapers.repec.org/paper/zbwi4rdps/179.htm"
"Identity effects in social media","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/xfc2m/"
"Ideological Asymmetries and the Determinants of Politically Motivated Reasoning","Political Science","AJPS","2024","","https://osf.io/mh5sk/, https://econpapers.repec.org/paper/zbwi4rdps/79.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CGHTPZ"
