title,field,journal,year,language,links
"Populist Leaders and the Economy","Economics","AER","2024","","https://osf.io/6uef8/, https://www.econstor.eu/bitstream/10419/302901/1/I4R-DP157.pdf"
"Pre-Colonial Warfare and Long-Run Development in India","Economics","EJ","2023","","https://osf.io/af6m2/, https://econpapers.repec.org/paper/zbwi4rdps/35.htm"
"Public Infrastructure and Economic Development: Evidence from Postal Systems","Political Science","AJPS","2024","","https://osf.io/dx5nj/, https://econpapers.repec.org/paper/zbwi4rdps/92.htm, https://osf.io/j3ydr/?view_only=ad14a07cb3a741ca9bbfab391ad7c6fe, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/33K3EF"
"Preference discovery in university admissions: The case for dynamic multioffer mechanisms","Economics","JPE","2024","","https://osf.io/zwt7n/, https://www.econstor.eu/bitstream/10419/303904/1/I4R-DP166.pdf"
"Price Discrimination by Negotiation: a Field Experiment in Retail Electricity","Economics","QJE","2024","","https://osf.io/47hg6/"
"Raising Health Awareness in Rural Communities: A Randomized Experiment in Bangladesh and India","Economics","Restat","2025","","https://osf.io/c3k6f/"
"Rebel on the Canal: Disrupted Trade Access and Social Conflict in China, 1650–1911","Economics","AER: Insights","2024","","https://osf.io/dhn6e/"
"Run-off Elections in the Laboratory","Economics","EJ","2024","","https://osf.io/a8cev/, https://github.com/carinahausladen/runoff-elections"
"Re-Assessing Elite-Public Gaps in Political Behavior","Political Science","AJPS","2024","","https://osf.io/93urk/"
"Recessions, Mortality, and Migration Bias: Evidence from the Lancashire Cotton Famine","Economics","AEJ: Applied","2024","","https://osf.io/fxta6/, https://econpapers.repec.org/paper/zbwi4rdps/25.htm, https://www.openicpsr.org/openicpsr/project/192272/version/V1/view, https://www.openicpsr.org/openicpsr/project/128521/version/V1/view"
"Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India","Economics","AER: Insights","2024","","https://osf.io/r5jfe/, https://econpapers.repec.org/paper/zbwi4rdps/24.htm, https://www.openicpsr.org/openicpsr/project/149882/version/V1/view"
"Se Habla Español: Spanish-Language Appeals and Candidate Evaluations in the United States","Political Science","APSR","2024","","https://osf.io/xfp4k/"
"Seeing Racial Avoidance on New York City Streets","Psychological Science","Nature Human Behaviour","2025","","https://osf.io/gwx2k/, https://ideas.repec.org/p/zbw/i4rdps/202.html"
"State Action to Prevent Violence against Women: The Effect of Women’s Police Stations on Men's Attitudes toward Gender-Based Violence","Political Science","JOP","2024","","https://osf.io/yjwr8/, https://econpapers.repec.org/paper/zbwi4rdps/67.htm, https://osf.io/yjwr8/, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/D2WL5I"
"Strategic complexity and the value of thinking","Economics","EJ","2024","","https://osf.io/24v36/"
"Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice","Economics","JPE","2024","","https://osf.io/vwgxd/, https://github.com/mattdwebb/HUDreplication, https://www.journals.uchicago.edu/doi/suppl/10.1086/720140/suppl_file/20191181data.zip"
"Social class and (un)ethical behaviour: Causal and correlational evidence","Economics","EJ","2024","","https://osf.io/hw76j/, https://econpapers.repec.org/paper/zbwi4rdps/29.htm, https://github.com/ha0ye/replication-gsottbauer-2022, https://zenodo.org/records/6226207"
"Solar Eclipses and the Origins of Critical Thinking and Complexity","Economics","EJ","2024","","https://osf.io/cu4t5/"
"Spillover Effects of Intellectual Property Protection in the Interwar Aircraft Industry","Economics","EJ","","",""
"School spending and student outcomes: Evidence from revenue limit elections in wisconsin","Economics","AEJ: Econ Policy","2024","","https://osf.io/m2w4x/, https://econpapers.repec.org/paper/zbwi4rdps/88.htm, https://www.openicpsr.org/openicpsr/project/125821/version/V1/view"
